Date,RY.TO,BNS.TO,BMO.TO,POW.TO,TD.TO,CM.TO,FFH.TO,BN.TO,NA.TO,LB.TO,CWB.TO,GWO.TO,IGM.TO,ONEX.TO,CIX.TO,GSY.TO,MFC.TO,IAG.TO,SLF.TO,X.TO,EQB.TO,IFC.TO,EIF.TO,SII.TO,TCN.TO
2013-02-12,-0.000793788,-0.003237983,-0.001274661,0.009316019,0.000600645,0,0.000220237,-0.000774567,-0.000763582,0.001335724,0.001588071,0.008333465,0.023082911,0.016592229,-0.005251911,-0.004727978,0.007822608,0.003823147,0.007761445,-0.009091025,0,0.001126596,-0.005030417,-0.024692873,0
2013-02-13,0.005856065,0.004088522,0.002388654,-0.007071955,0.001801749,0.006984509,-0.002647668,0.002064541,0.005332748,-0.003567303,0.001585835,-0.006812955,-0.01147479,-0.005798288,0.008612795,0.006612878,-0.012414242,-0.000545313,0.008367894,0.013606107,-0.002773717,0.013742731,0,-0.030459245,0.001437914
2013-02-14,0.0001579,-0.001701576,-0.003185906,0.000373292,-0.002282156,-0.000360064,-0.00576122,-0.009324479,-0.001520856,0.004457144,-0.003809493,0.006812955,0.006091052,0.005353778,-0.001492645,0.007504765,0.010464293,-0.0098656,-0.038740872,-0.00361071,-0.006968704,0.004749748,-0.004332061,0.010257009,-0.001437914
2013-02-15,-0.001263341,-0.003582559,-0.001117247,0.001119827,-0.004942338,0.002277915,0.046088236,-0.030917953,0.001520856,0.000445185,0.002223658,0.010133312,-0.000899718,0.00222197,0.022157589,-0.018868206,0.018205888,0.04890785,0.000692817,0.010791387,-0.007017809,0.009902025,0.008645803,-0.018018595,-0.023290568
2013-02-19,0.017694203,0.010878781,0.009062585,0.012601712,0.013085955,0.01155138,0.025586312,0.04435844,0.006940262,0.002663829,0.004749466,0.023981771,0.020058792,0.01541892,-0.015087539,0.004750563,0.000643997,0.011991818,0.008962362,-0.01223885,-0.006783275,0.000937874,-0.002874273,-0.018349272,-0.002950059
2013-02-20,0.000930809,0.014434546,0.002213422,-0.002581641,0.005234566,0.002837228,0.000103398,0.002052081,-0.005548469,-0.007119841,-0.001264289,-0.00842003,-0.016687778,0.001310878,0.009594294,-0.004750563,-0.0221362,-0.042075131,-0.007578327,-0.007507155,0,0.005298281,0.012156237,-0.079822224,0.005891243
2013-02-21,-0.008252315,-0.001500547,-0.009680257,-0.007784696,-0.001662722,-0.004614843,0.003123365,-0.009266626,-0.012341959,0.001339235,-0.002850438,-0.011834552,0.002241173,-0.003718043,-0.001837808,-0.008608607,-0.011920531,-0.000269899,-0.00450523,-0.006823398,-0.001703303,-0.003736898,-0.001778477,0.017045861,-0.028297109
2013-02-22,0.004524036,0.006984939,0.006358536,0.004085298,0.002018523,-0.000830483,0.014075766,-0.00181184,-0.000768471,-0.00335023,-0.000952001,0.00852016,0.017090929,-0.000438235,-0.001841369,-0.046199773,0.009283639,-0.004064106,0.015851686,-0.014914726,0.008486577,0.011324065,0.002488678,0.027779428,0.022405866
2013-02-25,-0.010325537,-0.002489157,-0.002856617,-0.000741838,-0.003564484,-0.008344392,-0.018648156,-0.020149706,-0.009655933,-0.007860711,0.002852961,0.003314391,-0.009730515,0.004810491,-0.011492522,0.015968483,-0.020674247,-0.010093985,-0.019221166,0.004684841,0.008415294,-0.009454033,0.000710132,0.010899746,-0.020895921
2013-02-26,-0.005361483,0.005136915,0.012946606,0.002593378,0.001070778,-0.000478769,0.005860414,0.010256524,0.007603958,-0.001579624,-0.003170182,-0.005331659,-0.010050256,0.018158842,0.016507869,0.001977989,0.004035034,-0.006878328,-0.004952449,0.004662995,-0.007007773,0.001400354,0.008523068,0.018792303,0.02825442
2013-02-27,0.003629875,0.001651718,0.000313251,0.01651131,0.002256387,0.004540682,-0.009283746,0.00521907,0.003844371,0.002481018,-0.007331072,0.01594658,0.023076405,0.000428712,-0.001840892,-0.027042285,0.019276105,0.018043042,0.01722655,-0.000558552,0.013966581,0.008053679,0.001059711,-0.002663259,0.002928462
2013-02-28,0.008470682,0.013603218,0.006876368,0.002906706,0.006622056,-0.008861361,0.017844091,0.017799962,0.004720666,0.016311249,-0.021339048,0.008061814,-0.000219269,-0.004291991,-0.004803282,-0.010204089,0.007215958,0.010050501,0.004173954,0.01808189,0.005532822,0.010434173,0.008792905,0,0.002919715
2013-03-01,-0.003912611,-0.004895434,-0.002026494,-0.003635298,0.002119386,-0.00192643,-0.003938094,0.00966938,-0.007795228,0.006186665,0.002284968,-0.006958537,-0.004177356,0.00856564,-0.002224828,-0.049405647,-0.004586104,0.002968406,-0.016095663,0.008375888,-0.006920411,0.007451926,0.009755854,-0.016129043,-0.004382874
2013-03-04,-0.00235496,-0.004262446,-0.002812942,0.00145614,0.00011758,-0.000241013,0.012223369,0.001770961,-0.003727143,-0.005300261,-0.00555832,0.002202599,-0.003089013,0.002767448,0.005921733,0.047352112,-0.001971768,-0.008660248,-0.003179183,0.001811463,0.006644368,-0.00821558,-0.006609612,-0.035866427,0
2013-03-05,0.002198098,0.007365784,0.004060469,0.00109014,0.004574913,0.004809713,-0.018133644,0.004539966,0.000386481,-0.005106356,-0.009884692,0.006579086,0.00792428,-0.004475182,-0.005550496,-0.020769153,0.009820086,0,0.008105334,0.010980108,-0.005256779,-0.00674414,0.005568117,-0.002812746,-0.004402169
2013-03-06,-0.00850537,-0.003266961,-0.002965666,-0.002546281,-0.001874342,-0.000839579,-0.002580367,0.000251374,0.00012878,0.00044531,0.005612989,0.003636478,0.001314444,0.00829543,0.00074141,0.004188372,0.002602477,0.002985551,0.005251039,-0.001971193,-0.001387589,0.004450194,-0.011871316,-0.008486589,0.004402169
2013-03-07,-0.008578308,-0.006071932,-0.000938397,-0.002917372,0.001640455,-0.000360402,0.000542225,0.000754553,0.000128522,-0.003566296,-0.049267466,-0.001089716,0.003279147,0.00549239,0.004809086,-0.006288809,0.001298551,0.004596507,0.00139588,-0.001435904,0.000555029,-0.003067219,-0.020940693,0.01410488,-0.010301703
2013-03-08,-0.003996449,-0.001153207,-0.000782799,0.000365169,-0.002931357,-0.005782049,-0.004996747,-0.003273252,0.00102891,-0.002458445,-0.009033969,-0.004369911,-0.007667681,0.000420917,-0.010759392,0.038168486,0.00646849,-0.004054859,-0.00139588,0.006624395,0.021695234,0.00092125,0.018126833,-0.005618291,0.016140951
2013-03-11,0.00351775,-0.001483967,0.007333035,0.002187836,0.001994692,0.007221722,-0.008340431,-0.025803045,0.001156054,-0.000447378,-0.014060098,-0.004389029,0.000879075,0.002943471,0.005950306,0.01207251,0.008985702,-0.006521805,-0.007359466,0.006403341,0.018305343,-0.003843358,-0.01204807,0.002812746,0.005805738
2013-03-12,-0.002396987,0.000989701,-0.000466549,-0.000728619,-0.004816812,-0.001800371,0.003970428,-0.021714341,-0.003472583,-0.007868169,-0.003191015,-0.007358359,0.004603786,-0.005895787,0.016912536,0.009950512,-0.00963063,-0.005741565,0.006661432,0.006362599,0.022158343,-0.004040307,-0.003571232,-0.016997617,0
2013-03-13,-0.016942844,-0.009609031,-0.001556432,-0.028848043,-0.008158398,-0.01184444,0.024209291,-0.002118194,-0.005685568,-0.001807097,-0.009276014,-0.004069944,-0.003066682,-0.001056459,-0.001459409,-0.009950512,-0.006472676,-0.005223477,-0.008069274,-0.022629051,-0.014506572,0.001244716,-0.000357637,0.002853134,0.010079394
2013-03-14,0.002275607,0.000998044,0.000467275,0.016375512,0.006154713,-0.001337945,-0.000127157,0.011332477,-0.000388923,0.001129759,0.002505977,0.010327982,0.004596277,0.006112732,0.008724213,0,0.001946389,0.000551248,0.006320273,-0.002164612,-0.005594542,-0.002647427,0.003928869,-0.043674895,-0.001433984
2013-03-15,-0.002600876,0.00332077,-0.002337995,0.01320115,0.002945337,-0.00268245,-0.007535922,-0.007100651,-0.001816247,0.013904715,0.006059414,-0.00220428,0.000655225,-0.002524875,0.016155631,0,0.003235485,0.009595533,0.003494049,0.024617541,0.002934534,0.002802991,0.012400182,0.040821761,0
2013-03-18,-0.003751437,-0.008155323,-0.004849874,-0.006945213,-0.00554486,0.002438888,0.015848259,-0.007683489,0.001427253,-0.009173505,-0.004630204,-0.004053759,-0.003936443,0.000842253,-0.013625061,0.024692674,-0.014969715,-0.004374736,-0.013342785,-0.011341765,0.01480717,0.000777074,-0.001761874,-0.0114942,0.004294837
2013-03-19,-0.002781426,-0.003012448,-0.000313251,0.014928099,-0.001065039,0.00121684,0.00194133,0.001860496,-0.006113757,0.002469595,-0.005041395,0.005523714,-0.001095791,0.009218478,0.0071939,0.014528237,-0.002626297,0.011714803,0.001059959,-0.010930546,-0.002102263,0.007893069,0.008080063,0.005763526,-0.0014295
2013-03-20,0.005066344,-0.002013278,0.002506589,-0.002926137,-0.001896807,-0.000121991,-0.008855143,0.001591168,-0.004708283,-0.000448532,0.005400774,0.004031722,0.004813694,0.01449311,0.003577978,0.009569498,0.011114846,0.002975431,0.001764106,0.012533567,0.002102263,0.002002252,-0.006318189,-0.017391516,-0.008620372
2013-03-21,-0.009829337,-0.007417248,-0.002977384,-0.010309535,-0.007264161,-0.013717341,0.001269842,-0.030407229,-0.011868864,-0.001571272,-0.001077834,0.000365349,-0.004594266,-0.011785766,-0.003936344,0.00095187,-0.017049356,-0.004059436,-0.015272908,-0.007322386,0.002883066,-0.007722416,-0.000352112,0.008733477,0
2013-03-22,0.010318458,0.005904736,0.003446407,-0.004078983,0.003459792,0.002832956,0.011331484,-0.007404426,0.003046317,0.000224781,0.001077834,-0.006235212,0.008950998,-0.005422454,0.004650018,-0.00095187,0.00593451,0.000813275,0.001072959,-0.01008825,-0.012112355,0.003714035,0.00281386,0.028573584,0
2013-03-25,-0.002774038,-0.000336746,-0.004074395,-0.006711591,0.003092025,-0.004437232,0.006278989,-0.005243567,-0.000132051,-0.002249065,-0.00359722,-0.004055004,-0.002611605,-0.014958477,-0.002501235,0,-0.015904718,0.002435373,-0.015856175,0.022734253,0.006600629,0.001389282,0.003506689,-0.011331737,-0.001444532
2013-03-26,0.004564827,0.002352736,0.007976803,0.020367123,0.005447111,-0.007400338,-0.004148258,0.004142062,-0.00093648,0.001574492,0.015021084,0.012116818,0.005869707,0.023081139,0.008042161,-0.028007958,0.004664734,0.005928476,0.005072673,-0.01139199,0.00262866,-0.005413189,1.422E-07,-0.008583808,-0.007315241
2013-03-27,-0.012603442,-0.002689039,-0.008133875,-0.001467266,-0.008657793,-0.006314815,-0.004542854,0.005221685,-0.008199603,0.001816717,0.00636967,0.002915333,-0.001755139,0.002279162,-0.003209084,0,-0.016085843,0.00268283,-0.01934036,-0.002868329,0.006539941,-0.038092637,0.000702934,0.002869684,-0.013303897
2013-03-28,0.008038615,0.022142155,0.004231466,0.002200251,0.007476184,0.009457503,-0.002190663,0.016852808,0.006993782,-0.002726119,0,-0.009139006,0.005037912,0.002480083,0.003565632,-0.004909151,0.010752594,0.001071232,0.021145267,-0.001976612,-0.008642204,0.002895883,-0.013803334,0.00286099,-0.002980635
2013-04-01,0.001143376,-0.002710853,0,-0.009939126,0.000835144,0.001128891,0.013372443,-0.002969171,-0.002280908,-0.000910504,-0.00141176,-0.007001881,-0.010542861,-0.000825816,-0.00178117,-0.022897752,-0.014815053,-0.006175023,-0.013071807,-0.000900341,0.031584492,0.015462329,-0.010029011,0.005698282,-0.012011981
2013-04-02,0.015386015,0.002372119,0.00639233,0.010305417,0.00724933,0.009730605,-0.004737365,0.009417416,-0.000537414,-0.006395624,-0.000706628,0.005531925,0.004406364,-0.008507242,0.020466496,0.002011951,0.021477468,0.004567725,0.024550137,0.011813655,0.000254795,0.004419166,0.011453048,-0.064538588,0.014992616
2013-04-03,-0.014244473,-0.017240401,-0.012982479,-0.020344517,-0.012151299,-0.005103316,-0.001600992,-0.01158253,0.000402682,-0.007128586,-0.012449018,-0.009608154,-0.019758418,-0.005013521,-0.01513321,0.008579153,-0.032391428,-0.009698378,-0.026745462,-0.009834644,0.003814098,0.001416085,-0.011453048,-0.033901565,-0.033286257
2013-04-04,-0.015608276,-0.005871051,-0.013631191,-0.025739764,-0.017288857,-0.007514779,-0.007639378,0.005134285,-0.00013396,-0.005786497,0.00214516,-0.017984758,-0.012862884,-0.011585144,-0.016086185,0.01000006,-0.018692401,-0.020235848,-0.017738917,-0.015574628,-0.007643224,-0.014413878,-0.019629399,-0.019169815,0.010711986
2013-04-05,-0.012832389,-0.014654747,-0.008816509,-0.002303095,-0.013381697,-0.007952236,0.016437359,0.003766592,-0.005659854,-0.005119745,-0.004653818,-0.001135189,0.003401034,0.005071948,-0.000721072,-0.003988006,-0.014783789,-0.004984464,-0.011248665,0.004915888,-0.028536559,0.00254941,0,0.0594853,-0.004576371
